Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
10.0,1,40.0,0.0,4.0,3,2,v South Africa,Auckland,2017-03-04,ODI # 3846,60.0,Tim Southee
3.0,0,15.0,0.0,5.0,1,2,v Australia,Birmingham,2017-06-02,ODI # 3876,18.0,Tim Southee
9.3,0,44.0,2.0,4.63,1,1,v England,Cardiff,2017-06-06,ODI # 3880,57.0,Tim Southee
9.0,1,45.0,3.0,5.0,1,2,v Bangladesh,Cardiff,2017-06-09,ODI # 3883,54.0,Tim Southee
10.0,0,73.0,3.0,7.3,1,1,v India,Wankhede,2017-10-22,ODI # 3928,60.0,Tim Southee
9.0,1,60.0,1.0,6.66,1,2,v India,Pune,2017-10-25,ODI # 3931,54.0,Tim Southee
10.0,0,66.0,2.0,6.6,1,1,v India,Kanpur,2017-10-29,ODI # 3932,60.0,Tim Southee
10.0,2,49.0,0.0,4.9,1,1,v West Indies,Whangarei,2017-12-20,ODI # 3943,60.0,Tim Southee
6.1,0,22.0,3.0,3.56,1,2,v Pakistan,Wellington,2018-01-06,ODI # 3946,36.0,Tim Southee
10.0,1,57.0,2.0,5.7,1,1,v Pakistan,Nelson,2018-01-09,ODI # 3947,60.0,Tim Southee
7.0,3,19.0,0.0,2.71,1,2,v Pakistan,Dunedin,2018-01-13,ODI # 3949,42.0,Tim Southee
8.0,0,44.0,3.0,5.5,1,1,v Pakistan,Hamilton,2018-01-16,ODI # 3953,48.0,Tim Southee
9.0,0,46.0,0.0,5.11,1,2,v Pakistan,Wellington,2018-01-19,ODI # 3957,54.0,Tim Southee
10.0,1,47.0,0.0,4.7,1,1,v England,Hamilton,2018-02-25,ODI # 3980,60.0,Tim Southee
7.0,0,55.0,0.0,7.85,1,2,v England,Mount Maunganui,2018-02-28,ODI # 3981,42.0,Tim Southee
10.0,0,48.0,1.0,4.8,1,1,v England,Wellington,2018-03-03,ODI # 3982,60.0,Tim Southee
10.0,0,87.0,1.0,8.7,1,1,v England,Dunedin,2018-03-07,ODI # 3989,60.0,Tim Southee
5.0,1,20.0,0.0,4.0,1,2,v England,Christchurch,2018-03-10,ODI # 3992,30.0,Tim Southee
9.0,1,31.0,1.0,3.44,2,2,v Pakistan,Abu Dhabi,2018-11-07,ODI # 4066,54.0,Tim Southee
