Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Opposition,Ground,Start Date,MatchNo,Balls,player
7.0,0,43.0,0.0,6.14,4,2,v West Indies,Port of Spain,2022-07-22,ODI # 4436,42.0,Axar Patel
9.0,1,40.0,1.0,4.44,5,1,v West Indies,Port of Spain,2022-07-24,ODI # 4438,54.0,Axar Patel
6.0,0,38.0,1.0,6.33,3,2,v West Indies,Port of Spain,2022-07-27,ODI # 4439,36.0,Axar Patel
7.3,2,24.0,3.0,3.2,5,1,v Zimbabwe,Harare,2022-08-18,ODI # 4451,44.0,Axar Patel
7.0,1,20.0,1.0,2.85,4,1,v Zimbabwe,Harare,2022-08-20,ODI # 4454,42.0,Axar Patel
10.0,1,30.0,2.0,3.0,6,2,v Zimbabwe,Harare,2022-08-22,ODI # 4457,60.0,Axar Patel
7.0,0,40.0,0.0,5.71,6,1,v Bangladesh,Mirpur,2022-12-07,ODI # 4496,42.0,Axar Patel
5.0,0,22.0,2.0,4.4,3,2,v Bangladesh,Chattogram,2022-12-10,ODI # 4499,30.0,Axar Patel
10.0,0,58.0,0.0,5.8,6,2,v Sri Lanka,Guwahati,2023-01-10,ODI # 4501,60.0,Axar Patel
5.0,0,16.0,1.0,3.2,6,1,v Sri Lanka,Eden Gardens,2023-01-12,ODI # 4503,30.0,Axar Patel
3.0,0,25.0,0.0,8.33,3,2,v Australia,Visakhapatnam,2023-03-19,ODI # 4541,18.0,Axar Patel
8.0,0,57.0,2.0,7.12,3,1,v Australia,Chennai,2023-03-22,ODI # 4545,48.0,Axar Patel
10.0,0,76.0,0.0,7.6,3,1,v Australia,Adelaide,2019-01-15,ODI # 4078,60.0,Mohammed Siraj
8.0,2,26.0,1.0,3.25,1,1,v West Indies,Ahmedabad,2022-02-06,ODI # 4353,48.0,Mohammed Siraj
9.0,1,38.0,1.0,4.22,1,2,v West Indies,Ahmedabad,2022-02-09,ODI # 4355,54.0,Mohammed Siraj
9.0,1,29.0,3.0,3.22,2,2,v West Indies,Ahmedabad,2022-02-11,ODI # 4356,54.0,Mohammed Siraj
